ds,AAPL,GOOG,JNJ,KO,MSFT,NVDA,PG,TSLA
2021-11-10,147.92,146.626,164.27,56.72,330.8,294.59,146.82,355.9833
2021-11-11,147.87,146.748,163.06,56.74,332.43,303.9,146.4,354.5033
2021-11-12,149.99,149.6455,165.01,56.61,336.72,303.9,146.56,344.4733
2021-11-15,150.0,149.388,163.52,56.62,336.07,300.25,147.4,337.7967
2021-11-16,151.0,149.076,162.67,56.22,339.51,302.03,147.19,351.5767
2021-11-17,153.49,149.062,163.28,55.91,339.12,292.61,147.1,363.0033
2021-11-18,157.87,150.709,162.4,55.41,341.27,316.75,147.12,365.46
2021-11-19,160.55,149.9525,162.89,55.13,343.11,329.85,146.82,379.02
2021-11-22,161.02,147.0785,159.7,55.47,339.83,319.56,147.8,385.6233
2021-11-23,161.41,146.757,160.69,55.88,337.68,317.46,149.44,369.6767
2021-11-24,161.94,146.7175,160.24,55.43,337.91,326.74,148.66,372.0
2021-11-26,156.81,142.806,159.2,53.73,329.68,315.03,147.47,360.64
2021-11-29,160.24,146.114,159.75,54.58,336.63,333.76,149.02,378.9967
2021-11-30,165.3,142.452,155.93,52.45,330.59,326.76,144.58,381.5867
2021-12-01,164.77,141.618,158.08,52.3,330.08,314.35,146.4,365.0
2021-12-02,163.76,143.7765,157.09,53.07,329.49,321.26,147.26,361.5333
2021-12-03,161.84,142.5205,159.38,53.54,323.01,306.93,149.88,338.3233
2021-12-06,165.32,143.7965,162.94,54.91,326.19,300.37,152.15,336.3367
2021-12-07,171.18,148.0365,163.36,55.21,334.92,324.27,151.75,350.5833
2021-12-08,175.08,148.7205,164.34,55.0,334.97,318.26,152.43,356.32
2021-12-09,174.56,148.106,165.9,54.86,333.1,304.9,153.32,334.6
2021-12-10,179.45,148.675,165.49,56.28,342.54,301.98,155.46,339.01
2021-12-13,175.74,146.7045,168.45,57.76,339.4,281.61,157.67,322.1367
2021-12-14,174.33,144.9705,170.29,57.8,328.34,283.37,158.25,319.5033
2021-12-15,179.3,147.3685,171.14,58.06,334.65,304.59,158.86,325.33
2021-12-16,172.26,144.8385,173.01,58.65,324.9,283.87,161.11,308.9733
2021-12-17,171.14,142.803,168.23,57.73,323.8,278.01,157.46,310.8567
2021-12-20,169.75,142.4015,167.75,57.54,319.91,277.19,157.86,299.98
2021-12-21,172.99,144.2205,167.21,57.77,327.29,290.75,157.76,312.8433
2021-12-22,175.64,146.949,167.93,58.18,333.2,294.0,159.32,336.29
2021-12-23,176.28,147.1425,168.25,58.22,334.69,296.4,160.1,355.6667
2021-12-27,180.33,148.064,169.67,58.65,342.45,309.45,161.97,364.6467
2021-12-28,179.29,146.448,170.35,58.88,341.25,303.22,162.84,362.8233
2021-12-29,179.38,146.5045,171.55,58.95,341.95,300.01,164.19,362.0633
2021-12-30,178.2,146.0025,172.31,58.78,339.32,295.86,162.77,356.78
2021-12-31,177.57,144.6795,171.07,59.21,336.32,294.11,163.58,352.26
2022-01-03,182.01,145.0745,171.54,59.3,334.75,301.21,162.9,399.9267
2022-01-04,179.7,144.4165,171.08,60.29,329.01,292.9,163.47,383.1967
2022-01-05,174.92,137.6535,172.22,60.79,316.38,276.04,164.21,362.7067
2022-01-06,172.0,137.551,171.63,60.47,313.88,281.78,162.83,354.9
2022-01-07,172.17,137.0045,173.95,60.33,314.04,272.47,162.74,342.32
2022-01-10,172.19,138.574,173.09,60.43,314.27,274.0,160.52,352.7067
2022-01-11,175.08,140.0175,171.25,60.45,314.98,278.17,158.66,354.8
2022-01-12,175.53,141.648,169.79,60.54,318.27,279.99,159.01,368.74
2022-01-13,172.19,139.131,168.76,60.9,304.8,265.75,158.29,343.8533
2022-01-14,173.07,139.7865,167.84,61.39,310.2,269.42,159.81,349.87
2022-01-18,169.8,136.2905,167.1,60.9,302.65,259.03,156.73,343.5033
2022-01-19,166.23,135.652,166.58,61.0,303.33,250.67,162.0,331.8833
2022-01-20,164.51,133.5065,165.25,60.75,301.6,241.5,162.0,332.09
2022-01-21,162.41,130.092,164.87,60.45,296.03,233.74,162.62,314.6333
2022-01-24,161.62,130.372,162.97,59.96,296.37,233.72,161.3,310.0
2022-01-25,159.78,126.7355,167.63,59.82,288.49,223.24,159.54,306.1333
2022-01-26,159.69,129.24,168.38,59.6,296.71,227.72,158.15,312.47
2022-01-27,159.22,129.121,170.59,59.65,299.84,219.44,159.13,276.3667
2022-01-28,170.33,133.2895,171.79,60.84,308.26,228.4,160.5,282.1167
2022-01-31,174.78,135.6985,172.29,61.01,310.98,244.86,160.45,312.24
2022-02-01,174.61,137.8785,170.88,60.56,308.76,246.38,159.74,310.4167
2022-02-02,175.84,148.0365,172.77,61.18,313.46,252.42,162.6,301.8867
2022-02-03,172.9,142.6505,172.76,61.61,301.25,239.48,164.14,297.0467
2022-02-04,172.39,143.016,171.63,60.96,305.94,243.19,161.53,307.7733
2022-02-07,171.66,138.938,171.06,61.6,300.95,247.28,160.32,302.4467
2022-02-08,174.83,139.213,171.51,62.0,304.56,251.08,159.96,307.3333
2022-02-09,176.28,141.453,171.49,61.04,311.21,267.05,159.6,310.6667
2022-02-10,172.12,138.6025,169.42,61.38,302.38,258.24,157.17,301.5167
2022-02-11,168.64,134.13,167.71,60.29,295.04,239.49,156.29,286.6667
2022-02-14,168.88,135.3,165.6,60.68,295.0,242.67,156.74,291.92
2022-02-15,172.79,136.4255,167.31,60.91,300.47,264.95,156.82,307.4767
2022-02-16,172.55,137.4875,167.21,60.9,299.5,265.11,158.01,307.7967
2022-02-17,168.88,132.3085,166.19,62.12,290.73,245.07,159.82,292.1167
2022-02-18,167.3,130.4675,163.36,62.54,287.93,236.42,159.9,285.66
2022-02-22,164.32,129.4025,161.14,62.28,287.72,233.9,157.93,273.8433
2022-02-23,160.07,127.585,161.22,61.59,280.27,223.87,155.96,254.68
2022-02-24,162.74,132.6735,158.14,60.51,294.59,237.48,151.76,266.9233
2022-02-25,164.85,134.5195,166.0,62.85,297.31,241.57,158.24,269.9567
2022-02-28,165.12,134.891,164.57,62.24,298.79,243.85,155.89,290.1433
2022-03-01,163.2,134.168,164.0,61.97,294.95,234.77,153.31,288.1233
2022-03-02,166.56,134.7515,166.04,62.43,300.19,242.2,153.79,293.2967
2022-03-03,166.23,134.308,168.48,62.47,295.92,237.14,154.36,279.7633
2022-03-04,163.17,132.122,169.48,62.57,289.86,229.36,155.14,279.43
2022-03-07,159.3,126.4645,172.21,61.08,278.91,213.52,152.84,268.1933
